      date        h         min      t_sum  MLT   MLAT   GLON   GLAT
 21.08.2013      20         28      20.47  0.95  65.95  61.21   69.6
 21.08.2013      23         43      23.72 21.82  65.75 314.56  61.16
 22.08.2013       4         57       4.95  2.58  69.98 308.27  64.17
 22.08.2013       8          6       8.10 23.69  67.48 248.89  58.77
 22.08.2013      10          2      10.03 22.06  70.64 203.38  71.32
 22.08.2013      13         14      13.23  0.12  65.37 180.63  68.88
 22.08.2013      17         19      17.32 21.94  67.35  66.83  71.16
 22.08.2013      19         15      19.25 22.17  73.53   15.6     77
 23.08.2013       8         27       8.45   1.8  66.16 265.36  56.38
 23.08.2013      19          1      19.02  23.5  65.95  61.21   69.6
 23.08.2013      22         44      22.73  1.06  66.65  18.94  69.66
 24.08.2013       7         50       7.83  1.18  66.16 265.36  56.38
 24.08.2013      20         57      20.95  2.68  69.34   80.7  73.53
 25.08.2013       5          1       5.02  1.09   66.7  291.6   58.1
 25.08.2013      17         19      17.32 21.59  65.95  61.21   69.6
 26.08.2013       7         10       7.17  0.43  59.96 263.96   50.2
 26.08.2013      10         40      10.67 23.19  70.87 216.35  70.14
 26.08.2013      21         36      21.60 23.55  66.86  16.03   69.3
 27.08.2013       2          0       2.00 23.78  67.41 310.32     62
 27.08.2013      10         36      10.60  2.26  67.48 248.89  58.77
 28.08.2013       7         40       7.67 20.59  67.65 214.78  66.56
 28.08.2013      10          8      10.13  23.1  67.65 214.78  66.56
 28.08.2013      20         42      20.70  1.56  67.35  66.83  71.16
 30.08.2013      13         18      13.30  0.24  65.37 180.63  68.88
 30.08.2013      16         32      16.53 21.05  67.35  66.83  71.16
 31.08.2013       4         23       4.38  21.8  66.16 265.36  56.38
 31.08.2013      11         40      11.67 22.22  65.92  170.9  70.08
 31.08.2013      22         39      22.65  0.58  66.86  16.03   69.3
 01.09.2013       5         32       5.53 22.95  66.16 265.36  56.38
 01.09.2013       8         21       8.35 21.79  66.24 220.89  64.05
 01.09.2013      12         57      12.95  2.32  66.24 220.89  64.05
 01.09.2013      22          4      22.07  0.61  68.19  22.22  70.54
 02.09.2013       3         39       3.65 23.78   66.7  291.6   58.1
 02.09.2013      12         19      12.32 23.37  65.37 180.63  68.88
 03.09.2013      11         13      11.22  1.48  69.85 233.31  65.26
 03.09.2013      22         59      22.98  1.51  66.82  22.96  69.86
 04.09.2013       8          3       8.05  0.53     67 256.32  58.22
 04.09.2013      11          5      11.08  2.77  67.48 248.89  58.77
 04.09.2013      20         46      20.77  1.63  67.35  66.83  71.16
 04.09.2013      22         18      22.30  0.63   67.8  22.22  70.54
 05.09.2013      19         49      19.82   0.7  67.35  66.83  71.16
 06.09.2013       3         41       3.68 20.88   73.6 263.99  64.32
 06.09.2013      12         58      12.97  0.97  70.64 203.38  71.32
 06.09.2013      19         36      19.60  0.49  67.35  66.83  71.16
 07.09.2013       4         40       4.67  2.46  67.41 310.32     62
 08.09.2013       3         57       3.95 21.45   68.5 265.79  57.71
 08.09.2013      13          6      13.10  2.51  66.24 220.89  64.05
 08.09.2013      18         20      18.33  0.07  69.34   80.7  73.53
 09.09.2013       2         58       2.97  0.71  69.98 308.27  64.17
 09.09.2013       7         26       7.43  0.91   68.5 265.79  57.71
 09.09.2013       9          4       9.07  0.46  69.42 245.52  62.48
 10.09.2013       9         54       9.90  2.43     67 256.32  58.22
 10.09.2013      16         55      16.92  1.29  66.71 128.92  71.59
 10.09.2013      20         12      20.20  0.71  65.95  61.21   69.6
 11.09.2013       1         37       1.62 23.45  67.41 310.32     62
 11.09.2013       7         55       7.92  1.37  66.16 265.36  56.38
 11.09.2013       9          2       9.03  2.52   68.5 265.79  57.71
 11.09.2013      12         43      12.72 23.82  65.37 180.63  68.88
 11.09.2013      23         59      23.98  1.91  66.86  16.03   69.3
 12.09.2013       5          3       5.05  2.87  67.41 310.32     62
 12.09.2013       8          7       8.12  1.58  66.16 265.36  56.38
 12.09.2013      20         36      20.60  1.11  65.95  61.21   69.6
 13.09.2013       4         28       4.47   2.3  67.41 310.32     62
 13.09.2013       7          3       7.05  0.53  66.16 265.36  56.38
 13.09.2013      12          4      12.07  1.58  66.24 220.89  64.05
 13.09.2013      13         12      13.20  2.16  67.65 214.78  66.56
 13.09.2013      19         52      19.87 22.47  68.19  22.22  70.54
 14.09.2013       5         34       5.57  1.75   66.7  291.6   58.1
 14.09.2013      12         52      12.87 23.46  65.92  170.9  70.08
 14.09.2013      19         20      19.33 21.94  68.19  22.22  70.54
 14.09.2013      20         30      20.50 23.09  68.19  22.22  70.54
 15.09.2013       1          0       1.00 22.77  69.98 308.27  64.17
 16.09.2013       6         11       6.18 21.64  69.42 245.52  62.48
 16.09.2013       9          7       9.12  0.55  69.42 245.52  62.48
 16.09.2013      14         48      14.80  2.72  70.64 203.38  71.32
 17.09.2013       2         30       2.50  0.28  69.98 308.27  64.17
 17.09.2013       7         48       7.80 23.25  69.42 245.52  62.48
 17.09.2013      21         19      21.32 23.47  67.07  16.03   69.3
 18.09.2013       2         34       2.57  0.43  67.41 310.32     62
 18.09.2013       9          0       9.00  2.53   68.5 265.79  57.71
 18.09.2013      12         15      12.25 23.43  65.37 180.63  68.88
 18.09.2013      15         38      15.63 23.92  66.71 128.92  71.59
 18.09.2013      18         40      18.67 23.58  67.35  66.83  71.16
 18.09.2013      21          0      21.00 23.58  66.82  22.96  69.86
 19.09.2013       3          7       3.12 22.59  73.47  283.4   64.2
 19.09.2013      13         16      13.27 22.74  65.67 147.89  70.62
 19.09.2013      14         56      14.93  0.26  65.67 147.89  70.62
 19.09.2013      19         11      19.18   0.1  67.35  66.83  71.16
 20.09.2013       2         42       2.70 22.92   66.7  291.6   58.1
 20.09.2013       4         31       4.52 21.78   73.6 263.99  64.32
 20.09.2013      10         47      10.78  2.26  69.42 245.52  62.48
 20.09.2013      12         33      12.55   2.9  69.85 233.31  65.26
 20.09.2013      21         18      21.30  2.18  67.35  66.83  71.16
 21.09.2013       1         29       1.48  1.53  71.63 338.03  70.48
 21.09.2013       8         24       8.40  1.95   68.5 265.79  57.71
 21.09.2013      18         28      18.47 23.38  67.35  66.83  71.16
 21.09.2013      22         39      22.65  1.22  68.19  22.22  70.54
 22.09.2013       0         13       0.22  2.76  68.19  22.22  70.54
 22.09.2013       1         34       1.57 23.43  67.41 310.32     62
 22.09.2013       5         22       5.37 22.64   73.6 263.99  64.32
 22.09.2013       7         16       7.27 20.97  71.57 226.23  68.41
 22.09.2013      13          5      13.08  0.27  65.37 180.63  68.88
 23.09.2013       3         27       3.45 21.04   68.5 265.79  57.71
 23.09.2013      17         21      17.35 23.09  69.34   80.7  73.53
 23.09.2013      19          2      19.03 23.58  65.95  61.21   69.6
 25.09.2013       0          4       0.07   2.4   67.8  22.22  70.54
 25.09.2013       2         10       2.17 22.49  72.21 291.48  63.75
 25.09.2013       5         33       5.55   1.8   66.7  291.6   58.1
 25.09.2013       6         56       6.93   0.5  66.16 265.36  56.38
 28.09.2013      20          1      20.02   1.8  69.34   80.7  73.53
 29.09.2013      21         48      21.80  0.17   67.8  22.22  70.54
 30.09.2013       1         25       1.42 23.22  69.98 308.27  64.17
 01.10.2013      14          7      14.12   2.3  70.64 203.38  71.32
 01.10.2013      20         41      20.68  1.21  65.95  61.21   69.6
 02.10.2013       1         58       1.97  0.15  65.75 314.56  61.16
 02.10.2013      13         43      13.72  0.46  65.92  170.9  70.08
 02.10.2013      15         18      15.30  2.47  65.37 180.63  68.88
 06.10.2013      13         15      13.25  1.54  70.64 203.38  71.32
 06.10.2013      21         41      21.68  0.28  68.19  22.22  70.54
 07.10.2013       4         14       4.23  2.19  67.41 310.32     62
 07.10.2013       6         33       6.55 22.47  67.48 248.89  58.77
 07.10.2013       9          8       9.13  2.78   68.5 265.79  57.71
 07.10.2013      16         36      16.60 22.39  69.34   80.7  73.53
 08.10.2013       8         41       8.68 21.74   71.5 216.35  70.14
 08.10.2013      11         39      11.65  0.83  65.79 212.57  65.12
 08.10.2013      18         31      18.52 23.09  65.95  61.21   69.6
 09.10.2013      15         53      15.88  2.63  65.92  170.9  70.08
 09.10.2013      23         57      23.95  1.57  63.75   12.5  66.11
 10.10.2013       4         21       4.35   2.6  65.75 314.56  61.16
 10.10.2013       9         10       9.17   2.8  66.16 265.36  56.38
 10.10.2013      13         57      13.95  0.78  65.92  170.9  70.08
 11.10.2013       1          5       1.08 22.97  67.41 310.32     62
 11.10.2013       5         35       5.58  21.2  69.42 245.52  62.48
 11.10.2013       8         31       8.52 22.33  71.57 226.23  68.41
 11.10.2013      11         57      11.95 23.34  65.37 180.63  68.88
 12.10.2013       4         39       4.65  1.07  72.21 291.48  63.75
 12.10.2013       9          1       9.02  0.08  67.47 238.77  61.76
 12.10.2013      12          0      12.00  0.84  70.87 211.21  70.36
 12.10.2013      20         47      20.78 22.79  66.86  16.03   69.3
 12.10.2013      21         59      21.98  0.57  66.82  22.96  69.86
 13.10.2013      20         26      20.43 22.94  71.89   19.2   74.5
 14.10.2013       4         56       4.93  1.28   66.7  291.6   58.1
 15.10.2013       9         59       9.98 23.15  65.79 212.57  65.12
 15.10.2013      21         10      21.17  23.5  65.19  20.77  69.06
 16.10.2013       6         34       6.57 20.46  71.57 226.23  68.41
 16.10.2013       8         27       8.45  22.3  71.57 226.23  68.41
 16.10.2013      11         31      11.52  0.81  67.65 214.78  66.56
 16.10.2013      14         17      14.28  0.03  65.67 147.89  70.62
 16.10.2013      18         32      18.53 23.48  67.35  66.83  71.16
 16.10.2013      23         41      23.68  1.64  66.86  16.03   69.3
 17.10.2013       3          3       3.05  1.31  65.75 314.56  61.16
 17.10.2013       6         41       6.68 21.83  67.47 238.77  61.76
 17.10.2013      20          1      20.02  0.56  65.95  61.21   69.6
 18.10.2013       5         54       5.90 23.82  72.45 267.89  62.82
 18.10.2013       7         55       7.92 22.49  69.85 233.31  65.26
 18.10.2013      19         16      19.27  1.07  69.34   80.7  73.53
 19.10.2013      10          4      10.07 22.88  70.87 211.21  70.36
 21.10.2013      17         20      17.33 23.18  69.34   80.7  73.53
 22.10.2013       9         23       9.38 23.92  69.85 233.31  65.26
 22.10.2013      18         33      18.55  0.36  69.34   80.7  73.53
 22.10.2013      22         33      22.55  0.75  66.37  18.94  69.66
 23.10.2013       5         26       5.43  1.93  72.21 291.48  63.75
 23.10.2013       9         57       9.95 23.82  71.57 226.23  68.41
 25.10.2013      22         56      22.93 22.99  71.63 338.03  70.48
 29.10.2013      10         35      10.58  1.18  69.85 233.31  65.26
 29.10.2013      18         12      18.20  0.01  69.34   80.7  73.53
 30.10.2013       6         51       6.85 22.93  67.48 248.89  58.77
 30.10.2013      14         14      14.23  23.1  66.71 128.92  71.59
 31.10.2013      19         41      19.68   0.2  65.95  61.21   69.6
 31.10.2013      21          8      21.13  2.86  69.34   80.7  73.53
 01.11.2013       2          5       2.08  0.29  65.75 314.56  61.16
 01.11.2013       9          8       9.13 22.44  67.65 214.78  66.56
 01.11.2013      12         22      12.37  0.96  65.59 199.56  66.97
 02.11.2013       0         42       0.70  2.62  66.86  16.03   69.3
 02.11.2013       4         33       4.55 22.45  72.45 267.89  62.82
 02.11.2013      21         25      21.42 23.36  66.86  16.03   69.3
 03.11.2013       1         35       1.58  23.4  69.98 308.27  64.17
 03.11.2013       5         31       5.52 21.54  67.48 248.89  58.77
 03.11.2013       8         16       8.27  2.27  72.45 267.89  62.82
 03.11.2013      10         33      10.55 23.89  67.65 214.78  66.56
 03.11.2013      20         32      20.53  1.01  65.95  61.21   69.6
 04.11.2013       5         41       5.68  23.5   68.5 265.79  57.71
 04.11.2013      10         28      10.47  23.8  67.65 214.78  66.56
 05.11.2013       7         34       7.57 23.67  67.48 248.89  58.77
 06.11.2013      18          2      18.03 22.95  67.35  66.83  71.16
 06.11.2013      22         49      22.82  0.72  66.86  16.03   69.3
 07.11.2013       4         20       4.33 23.64  66.31 282.24  55.28
 07.11.2013       8         21       8.35  1.23     67 256.32  58.22
 07.11.2013      23         36      23.60  1.15  63.75   12.5  66.11
 08.11.2013       5         25       5.42 23.38  72.45 267.89  62.82
 09.11.2013       1         51       1.85  1.93  71.63 338.03  70.48
 09.11.2013      14         33      14.55  1.64  65.92  170.9  70.08
 09.11.2013      20         30      20.50 23.02  66.82  22.96  69.86
 10.11.2013       1         17       1.28  23.4  65.75 314.56  61.16
